year,husband_cash,wife_cash,husband_household,wife_household,unmet
2026,1776667,866667,400000,600000,0
2027,2929235,1485903,3088868,1800000,0
2028,5543019,2105140,1627653,1800000,0
2029,8118149,2724377,1666306,1800000,0
2030,10654315,3343614,1704784,1800000,0
2031,12943675,3343614,1948040,1745000,0
2032,15096548,3468614,2081031,1800000,0
2033,17223425,3776793,2103572,1800000,0
2034,18096827,4024973,3353572,1800000,0
2035,20116649,4213152,2203572,1800000,0
2036,22132782,4401332,2203572,1800000,0
2037,23995114,4589511,2353572,1800000,0
2038,25703529,4777691,2503572,1800000,0
2039,27231393,5368505,2503572,1800000,0
2040,28759257,5959319,2503572,1800000,0
2041,29087121,6550133,3703572,1800000,0
2042,30614986,7140947,2503572,1800000,0
2043,31942850,7731760,2703572,1800000,0
2044,33070714,8322574,2903572,1800000,0
2045,34198578,9181811,2903572,1800000,0
2046,35326442,10041048,2903572,1800000,0
2047,36454307,10900285,2903572,1800000,0
2048,36382171,11759521,4103572,1800000,0
2049,36560035,12618758,3853572,1800000,0
2050,35787899,13357995,4803572,1800000,0
2051,35195764,13977232,4803572,1800000,0
2052,32174429,14596468,4803572,1800000,0
2053,30653094,15215705,3303572,1800000,0
2054,30631759,15834942,1803572,1800000,0
2055,29410425,16454179,3003572,1800000,0
2056,29389090,17073415,1803572,1800000,0
2057,29385518,17692652,1803572,1800000,0
2058,27581945,17332652,3603572,0,0
2059,25778373,16972652,3603572,0,0
2060,23974801,16612652,3603572,0,0
2061,22171229,16252652,3603572,0,0
2062,19167656,15892652,4803572,0,0
2063,18204084,15892652,2763572,840000,0
2064,17240512,15892652,2763572,840000,0
2065,16276940,15892652,2763572,840000,0
2066,15760863,15892652,2316076,840000,0
2067,16139779,15892652,1421084,840000,0
2068,16518694,15892652,1421084,840000,0
2069,15697610,15892652,2621084,840000,0
2070,16076525,15892652,1421084,840000,0
husband_zero_years= 0
wife_max= 17692652.041666634
husband_max= 36560035.178280525
